ID_DOL,ID_DOL_1,name,address,cat,address1,address2,address3,tel,fax,open,close,floor,holiday,parking,category,lat,lng,,
31149,31149,Ａコープみなべ,日高郡みなべ町東吉田字砂取６０１,4,和歌山県,日高郡みなべ町,東吉田字砂取６０１,0739-72-1919,,9:00,20:00,地上１階,なし,◎一般駐車場　有り：４１台<br>◎障害者用駐車場　有り：２台,大規模小売店舗,33.776884706,135.328250051,,
31150,31150,スーパードラッグキリン下万呂店,田辺市下万呂字裏代４１８,4,和歌山県,田辺市,下万呂字裏代４１８,0739-81-3366,,9:00,23:00,地上１階,なし,◎一般駐車場　有り：１３０台<br>◎障害者用駐車場　有り：１台,大規模小売店舗,33.738779252,135.395715921,,
31151,31151,ＪＡ紀南ファーマーズマーケット「紀菜柑」,田辺市秋津町７５２−１,4,和歌山県,田辺市,秋津町７５２−１,0739-81-0831,,9:00,18:00,地上１階,なし,◎一般駐車場　有り：２２２台<br>◎障害者用駐車場　有り：２台,大規模小売店舗,33.743223037,135.387633332,,
31152,31152,ダイエー和歌山店,和歌山市小雑賀805-1,4,和歌山県,和歌山市,小雑賀805-1,073-426-3131,073-425-2730,9:00,21:30,地上２階,,◎一般駐車場　有り：１０００台<br>◎障害者用駐車場　有り：５台,大規模小売店舗,34.195331745,135.182976821,,
31153,31153,チェーンストアオークワ本店,和歌山市中島185-3,4,和歌山県,和歌山市,中島185-3,073-425-2400,073-425-2422,9:00,21:00,地上１階,無休,◎一般駐車場　有り：４００台<br>◎障害者用駐車場　有り：５台,大規模小売店舗,34.209135651,135.18622626,,
31154,31154,チェーンストアオークワ西浜店,和歌山市西浜938-2,4,和歌山県,和歌山市,西浜938-2,073-447-2213,073-447-2216,9:00,22:00,地上１階,無休,◎一般駐車場　有り：１５５台<br>◎障害者用駐車場　有り：２台,大規模小売店舗,34.200608582,135.158367572,,
31155,31155,Ａコープかつらぎ店,伊都郡かつらぎ町佐野迎田188-1,4,和歌山県,伊都郡かつらぎ町,佐野迎田188-1,0736-22-0222,0736-22-6436,9:00,21:00,地上２階,1月1日,◎一般駐車場　有り：５０台,大規模小売店舗,34.288798499,135.482948629,,
31156,31156,オークワかつらぎ町,伊都郡かつらぎ町佐野字島田881-1他,4,和歌山県,伊都郡かつらぎ町,佐野字島田881-1他,0736-22-3600,0736-22-8787,9:30,20:00,地上１階,火曜日（24日/年）,◎一般駐車場　有り：３００台<br>◎障害者用駐車場　有り：５台,大規模小売店舗,34.292693683,135.487236052,,
31157,31157,は〜と＆は〜と妙寺店,伊都郡かつらぎ町妙寺92-1,4,和歌山県,伊都郡かつらぎ町,妙寺92-1,0736-23-2678,0736-23-2578,10:00,20:00,地上１階,なし,◎一般駐車場　有り：２５台,大規模小売店舗,34.300325323,135.527195013,,
31158,31158,ザダイソー100YENPLAZA素材発信館,伊都郡かつらぎ町大字佐野字島田889-2、894-1,4,和歌山県,伊都郡かつらぎ町,大字佐野字島田889-2、894-1,0736-23-3350,0736-23-3350,9:00,21:00,地上１階,年中無休,◎一般駐車場　有り：２５０台<br>◎障害者用駐車場　有り：５台,大規模小売店舗,34.292242538,135.487097464,,
